Method   ; URI                                                  ; Name                             ; Action                                                                      ; Middleware                                           ;
GET|HEAD ; adl                                                  ; adl.index                        ; App\Http\Controllers\Proc\AdlController@index                               ; web                                                  ;
GET|HEAD ; adl/andamento                                        ; adl.andamento                    ; App\Http\Controllers\Proc\AdlController@andamento                           ; web,permission:listar-adl                            ;
GET|HEAD ; adl/apagados                                         ; adl.apagados                     ; App\Http\Controllers\Proc\AdlController@apagados                            ; web,role:admin                                       ;
GET|HEAD ; adl/apagar/{id}                                      ; adl.forceDelete                  ; App\Http\Controllers\Proc\AdlController@forceDelete                         ; web,role:admin                                       ;
PUT      ; adl/atualizar/{id}                                   ; adl.update                       ; App\Http\Controllers\Proc\AdlController@update                              ; web,permission:editar-adl                            ;
GET|HEAD ; adl/criar                                            ; adl.create                       ; App\Http\Controllers\Proc\AdlController@create                              ; web,permission:criar-adl                             ;
GET|HEAD ; adl/editar/{ref}/{ano?}                              ; adl.edit                         ; App\Http\Controllers\Proc\AdlController@edit                                ; web,permission:editar-adl                            ;
GET|HEAD ; adl/julgamento                                       ; adl.julgamento                   ; App\Http\Controllers\Proc\AdlController@julgamento                          ; web,permission:listar-adl                            ;
GET|HEAD ; adl/lista                                            ; adl.lista                        ; App\Http\Controllers\Proc\AdlController@lista                               ; web,permission:listar-adl                            ;
GET|HEAD ; adl/prazos                                           ; adl.prazos                       ; App\Http\Controllers\Proc\AdlController@prazos                              ; web,permission:listar-adl                            ;
GET|HEAD ; adl/recuperar/{id}                                   ; adl.restore                      ; App\Http\Controllers\Proc\AdlController@restore                             ; web,role:admin                                       ;
GET|HEAD ; adl/rel_situacao                                     ; adl.rel_situacao                 ; App\Http\Controllers\Proc\AdlController@rel_situacao                        ; web,permission:listar-adl                            ;
GET|HEAD ; adl/remover/{id}                                     ; adl.destroy                      ; App\Http\Controllers\Proc\AdlController@destroy                             ; web,permission:apagar-adl                            ;
POST     ; adl/salvar                                           ; adl.store                        ; App\Http\Controllers\Proc\AdlController@store                               ; web,permission:criar-adl                             ;
GET|HEAD ; adl/ver/{ref}/{ano?}                                 ; adl.show                         ; App\Http\Controllers\Proc\AdlController@show                                ; web,permission:ver-adl                               ;
POST     ; ajax/add/form                                        ; ajax.add                         ; App\Http\Controllers\Ajax\ViewController@add                                ; web                                                  ;
GET|HEAD ; apfd                                                 ; apfd.index                       ; App\Http\Controllers\Proc\ApfdController@index                              ; web,permission:listar-apfd                           ;
GET|HEAD ; apfd/apagados                                        ; apfd.apagados                    ; App\Http\Controllers\Proc\ApfdController@apagados                           ; web,role:admin                                       ;
GET|HEAD ; apfd/apagar/{id}                                     ; apfd.forceDelete                 ; App\Http\Controllers\Proc\ApfdController@forceDelete                        ; web,role:admin                                       ;
PUT      ; apfd/atualizar/{id}                                  ; apfd.update                      ; App\Http\Controllers\Proc\ApfdController@update                             ; web,permission:editar-apfd                           ;
